Date,Price,Open,High,Low,Vol.,Change %
8/29/2006,1304.28,"1,301.57","1,305.02","1,295.29",-,0.19%
8/30/2006,1305.37,"1,303.70","1,306.74","1,302.15",-,0.08%
8/31/2006,1303.82,"1,304.25","1,306.11","1,302.45",-,-0.12%
9/1/2006,1311.01,"1,303.80","1,312.03","1,303.80",-,0.55%
9/5/2006,1313.25,"1,310.94","1,314.67","1,308.82",-,0.17%
9/6/2006,1300.26,"1,313.04","1,313.04","1,299.28",-,-0.99%
9/7/2006,1294.02,"1,300.21","1,301.25","1,292.13",-,-0.48%
9/8/2006,1298.92,"1,294.02","1,300.14","1,294.02",-,0.38%
9/11/2006,1299.54,"1,298.86","1,302.36","1,290.93",-,0.05%
9/12/2006,1313,"1,299.53","1,314.28","1,299.53",-,1.04%
9/13/2006,1318.07,"1,312.74","1,319.92","1,311.12",-,0.39%
9/14/2006,1316.28,"1,318.00","1,318.00","1,313.25",-,-0.14%
9/15/2006,1319.66,"1,316.28","1,324.65","1,316.28",-,0.26%
9/18/2006,1321.18,"1,319.85","1,324.87","1,318.16",-,0.12%
9/19/2006,1317.64,"1,321.17","1,322.04","1,312.17",-,-0.27%
9/20/2006,1325.18,"1,318.28","1,328.53","1,318.28",-,0.57%
9/21/2006,1318.03,"1,324.89","1,328.19","1,315.45",-,-0.54%
9/22/2006,1314.78,"1,318.03","1,318.03","1,310.94",-,-0.25%
9/25/2006,1326.37,"1,314.78","1,329.35","1,311.58",-,0.88%
9/26/2006,1336.35,"1,326.35","1,336.60","1,325.30",-,0.75%
9/27/2006,1336.59,"1,336.12","1,340.08","1,333.54",-,0.02%
9/28/2006,1338.88,"1,336.56","1,340.28","1,333.75",-,0.17%
9/29/2006,1335.85,"1,339.15","1,339.88","1,335.64",-,-0.23%
10/2/2006,1331.32,"1,335.82","1,338.54","1,330.28",-,-0.34%
10/3/2006,1334.11,"1,331.32","1,338.31","1,327.10",-,0.21%
10/4/2006,1350.2,"1,333.81","1,350.20","1,331.48",-,1.21%
10/5/2006,1353.22,"1,349.84","1,353.79","1,347.75",-,0.22%
10/6/2006,1349.59,"1,353.22","1,353.22","1,344.21",-,-0.27%
10/9/2006,1350.66,"1,349.58","1,352.69","1,346.55",-,0.08%
10/10/2006,1353.42,"1,350.62","1,354.23","1,348.60",-,0.20%
10/11/2006,1349.95,"1,353.28","1,353.97","1,343.57",-,-0.26%
10/12/2006,1362.83,"1,349.94","1,363.76","1,349.94",-,0.95%
10/13/2006,1365.62,"1,362.82","1,366.63","1,360.50",-,0.20%
10/16/2006,1369.06,"1,365.61","1,370.20","1,364.48",-,0.25%
10/17/2006,1364.05,"1,369.05","1,369.05","1,356.87",-,-0.37%
10/18/2006,1365.8,"1,363.93","1,372.87","1,360.95",-,0.13%
10/19/2006,1366.96,"1,365.95","1,368.09","1,362.06",-,0.08%
10/20/2006,1368.6,"1,366.94","1,368.66","1,362.10",-,0.12%
10/23/2006,1377.02,"1,368.58","1,377.40","1,363.94",-,0.62%
10/24/2006,1377.38,"1,377.02","1,377.78","1,372.42",-,0.03%
10/25/2006,1382.22,"1,377.36","1,383.61","1,376.00",-,0.35%
10/26/2006,1389.08,"1,382.21","1,389.45","1,379.47",-,0.50%
10/27/2006,1377.34,"1,388.89","1,388.89","1,375.85",-,-0.85%
10/30/2006,1377.93,"1,377.30","1,381.22","1,373.46",-,0.04%
10/31/2006,1377.94,"1,377.93","1,381.21","1,372.19",-,0.00%
11/1/2006,1367.81,"1,377.76","1,381.95","1,366.26",-,-0.74%
11/2/2006,1367.34,"1,367.44","1,368.39","1,362.21",-,-0.03%
11/3/2006,1364.3,"1,367.31","1,371.68","1,360.98",-,-0.22%
11/6/2006,1379.78,"1,364.27","1,381.40","1,364.27",-,1.13%
11/7/2006,1382.84,"1,379.75","1,388.19","1,379.19",-,0.22%
11/8/2006,1385.72,"1,382.50","1,388.61","1,379.33",-,0.21%
11/9/2006,1378.33,"1,385.43","1,388.92","1,377.31",-,-0.53%
11/10/2006,1380.9,"1,378.33","1,381.04","1,375.60",-,0.19%
11/13/2006,1384.42,"1,380.58","1,387.61","1,378.80",-,0.25%
11/14/2006,1393.22,"1,384.36","1,394.49","1,379.07",-,0.64%
11/15/2006,1396.57,"1,392.91","1,401.35","1,392.13",-,0.24%
11/16/2006,1399.76,"1,396.53","1,403.76","1,396.53",-,0.23%
11/17/2006,1401.2,"1,399.76","1,401.21","1,394.55",-,0.10%
11/20/2006,1400.5,"1,401.17","1,404.37","1,397.85",-,-0.05%
11/21/2006,1402.81,"1,400.43","1,403.49","1,399.99",-,0.16%
11/22/2006,1406.09,"1,402.69","1,407.89","1,402.26",-,0.23%
11/24/2006,1400.95,"1,405.94","1,405.94","1,399.25",-,-0.37%
11/27/2006,1381.96,"1,400.95","1,400.95","1,381.44",-,-1.36%
11/28/2006,1386.72,"1,381.61","1,387.91","1,377.83",-,0.34%
11/29/2006,1399.48,"1,386.11","1,401.14","1,386.11",-,0.92%
11/30/2006,1400.63,"1,399.47","1,406.30","1,393.83",-,0.08%
12/1/2006,1396.71,"1,400.63","1,402.46","1,385.93",-,-0.28%
12/4/2006,1409.12,"1,396.67","1,411.23","1,396.67",-,0.89%
12/5/2006,1414.76,"1,409.10","1,415.27","1,408.78",-,0.40%
12/6/2006,1412.9,"1,414.40","1,415.93","1,411.05",-,-0.13%
12/7/2006,1407.29,"1,412.86","1,418.27","1,406.80",-,-0.40%
12/8/2006,1409.84,"1,407.27","1,414.09","1,403.67",-,0.18%
12/11/2006,1413.04,"1,409.81","1,415.60","1,408.56",-,0.23%
12/12/2006,1411.56,"1,413.00","1,413.78","1,404.75",-,-0.10%
12/13/2006,1413.21,"1,411.32","1,416.64","1,411.05",-,0.12%
12/14/2006,1425.49,"1,413.16","1,427.23","1,413.16",-,0.87%
12/15/2006,1427.09,"1,425.48","1,431.63","1,425.48",-,0.11%
12/18/2006,1422.48,"1,427.08","1,431.81","1,420.65",-,-0.32%
12/19/2006,1425.55,"1,422.42","1,428.30","1,414.88",-,0.22%
12/20/2006,1423.53,"1,425.51","1,429.05","1,423.51",-,-0.14%
12/21/2006,1418.3,"1,423.20","1,426.40","1,415.90",-,-0.37%
12/22/2006,1410.76,"1,418.10","1,418.82","1,410.28",-,-0.53%
12/26/2006,1416.9,"1,410.75","1,417.91","1,410.45",-,0.44%
12/27/2006,1426.84,"1,416.63","1,427.72","1,416.63",-,0.70%
12/28/2006,1424.73,"1,426.77","1,427.26","1,422.05",-,-0.15%
12/29/2006,1418.3,"1,424.71","1,427.00","1,416.84",-,-0.45%
1/3/2007,1416.6,"1,418.03","1,429.42","1,407.86",-,-0.12%
1/4/2007,1418.34,"1,416.60","1,421.84","1,408.43",-,0.12%
